isin,symbol,company_name,bucket,pipeline_events_summary,price_gap_summary,web_action_summary,web_source_urls,web_status,agrees_with_price,confidence,recommended_verdict,notes
INE542F01020,SWANDEF,Swan Defence & Heavy Industries Ltd (fmr Reliance Naval/Pipavav Shipyard),reverse-split,"TWO reverse-split rows ex 2023-03-17 + 2023-07-14 factor 0.0036 each -> cumulative ~0 (0.0036^2)","coverage_hole (price file 2025-01-20+, post-event)","ONE 1:275 capital reduction/extinguishment (NCLT) record 2023-07-14, suspended (factor 0.003636)",https://www.nseindia.com/market-data/circular-detail?circularId=NSE/CML/57516,ok,partial,medium,resolve-apply-once,"ONE real 1:275 capital reduction (factor 0.0036), true record 2023-07-14. Pipeline created TWO entries (2023-03-17 phantom + 2023-07-14) and squared the factor. Apply 0.0036 ONCE; drop the 2023-03-17 duplicate. Price coverage hole."
INE294G01026,ROML,Raj Oil Mills Ltd.,reverse-split,"reverse-split row ex 2018-06-28 factor 0.05 (20:1)","gap 2020-10-07 ~14.5x (later, unrelated); no clean gap on 2018 ex-date","1:20 capital reduction (NCLT, 95% reduction) ex 2018-06-28, record 2018-06-29 (factor 0.05)",https://www.business-standard.com/article/news-cm/raj-oil-mills-fixes-record-date-for-reduction-of-share-capital-118062200224_1.html,ok,partial,medium,resolve-apply-once,"Real 20:1 capital reduction; ratio 0.05 matches web (also BSE Notice 20180625-7). No clean price gap on 2018 ex-date in coverage. Apply 0.05 once."
INE268L01046,SHEKHAWATI,Shekhawati Poly-Yarn Ltd / Shekhawati Industries Ltd,reverse-split,"reverse-split row ex 2024-08-28 factor 0.1 (10:1)","gap 2024-09-10 prev 30.23 -> next 86.43 (price UP ~2.86x; correct direction)","10:1 consolidation (FV 1->10) ex 2024-08-28 (factor 0.1); plus 1:10 forward split 2013",https://www.indiainfoline.com/company/shekhawati-industries-ltd/corporate-action/board-meetings/19543;https://trendlyne.com/equity/corporate-actions/stock-splits/116999/SHEKHAWATI/shekhawati-industries-ltd/,ok,partial,medium,resolve-apply-once,"Real 10:1 consolidation; ratio 0.1 matches web. Price moved UP post-consolidation (correct direction) ~2.86x (magnitude partial). Apply 0.1 once. (2013 forward split separate phantom.)"
INE866K01023,WAAREEINDO,Indosolar Ltd (now Waaree-acquired),reverse-split,"reverse-split row ex 2022-06-27 factor 0.01 (100:1)","coverage_hole (price file 2025-06-19+, post-event/relisted)","1:100 capital reduction (NCLT, Waaree acquisition; 37.2cr->37.2 lakh shares) ex 2022-06-27, record 2022-06-28 (factor 0.01)",https://www.bseindia.com/stock-share-price/indosolar-ltd/waareeindo/533257/corp-actions/,ok,partial,medium,resolve-apply-once,"Real 100:1 capital reduction; ratio 0.01 matches web (share counts confirm). Price coverage begins post-event. Apply 0.01 once. WAAREEINDO = renamed/relisted Indosolar."
INE087J01028,GBGLOBAL,Mandhana Industries Ltd / GB Global Ltd,reverse-split,"TWO reverse-split rows ex 2019-02-14 factor 0.1 (10:1) AND ex 2021-06-03 factor 0.01 (100:1) -> cumulative 0.001","gap 2019-06-14 ~1.44x (small); 2021 event at file end (2021-05-31). Thin coverage.","10:1 consolidation (NCLT) ex 2019-02-14 (0.1, 3.31cr->33.1 lakh); 100:1 consolidation (NCLT) ex 2021-06-03 (0.01, 33.1 lakh->33,143)",https://steelcitynettrade.com/admin/NSE-Circulars/suspension%20of%20trading%20-%20mandhana%20industries%20limited_11105.pdf;https://www.bseindia.com/stock-share-price/gb-global-ltd/gbglobal/533204/corp-announcements/,ok,partial,medium,resolve-apply-once,"BOTH reverse rows real (two NCLT consolidations, share counts confirm). Ratios 0.1 + 0.01 match web. Cumulative 0.001 is CORRECT. Apply each once. Price coverage thin around events."
INE899L01030,UEL,M & B Switchgears / Ujaas Energy Ltd,reverse-split,"reverse-split row ex 2023-11-03 factor 0.0015 (3:2000)","coverage starts 2024-12-23 (post-event); 2025 gaps are later bonuses","3:2000 capital reduction (NCLT, ~0.15% of holdings) ex 2023-11-03 (factor 0.0015); plus 10:1 forward split 2012",https://www.bseindia.com/stock-share-price/ujaas-energy-ltd/ujaas/533644/corporate-actions/,ok,partial,medium,resolve-apply-once,"Real 3:2000 capital reduction; 3/2000=0.0015 matches web exactly. Price coverage begins post-event. Apply 0.0015 once. Company = M&B Switchgears -> Ujaas Energy. (2012 forward split separate phantom.)"
INE949H01023,MANINFRA,Man Infraconstruction Ltd.,reverse-split,"flagged reverse-split ex 2014-08-28 (yahoo 5.0 vs nse 0.135) -> applied factor 0.2025 (reverse direction)","gap 2014-08-28 prev 160.7 -> next 30.65 (price DOWN ~5.24x) - confirms FORWARD split","ONE FORWARD 5:1 split (FV 10->2) ex 2014-08-28 (factor 5.0) - NOT a reverse split; plus 1:2 bonus 2021-11-17; 1:2 bonus 2009; 1:5 bonus 2006",https://www.moneycontrol.com/company-facts/maninfraconstruction/splits/MIC02;https://www.moneycontrol.com/company-facts/maninfraconstruction/bonus/MIC02,ok,Y,high,resolve-reverse-direction,"Web + price AGREE this is a FORWARD 5:1 split (price dropped 5.24x ~= 5x). Pipeline mislabeled direction (nse_ratio 0.135 inverted) and applied 0.2025 instead of 5.0. Apply as forward split factor 5.0."
INE188Y01031,VERTOZ,Vertoz Advertising Ltd / Vertoz Ltd,ratio-conflict;reverse-split,"ratio-conflict ex 2024-07-05 (yahoo 2.0 vs nse 6.0); reverse-split ex 2025-06-25 factor 0.1 -> cumulative 4.0","gap 2024-07-05 ~19.04x (compound); gap 2025-07-11 prev 36 -> next 87 (UP ~2.4x post-consolidation); 2020-01-02 ~1.7x (1:1 bonus)","2024-07-05 SIMULTANEOUS 10:1 split (10.0)+1:1 bonus (2.0)=combined 20.0; 2025-06-25 1:10 reverse consolidation (0.1); 1:1 bonus 2020-01-02 (2.0)",https://trendlyne.com/equity/Bonus/VERTOZ/87868/vertoz-ltd-bonus/;https://trendlyne.com/equity/Split/VERTOZ/87868/vertoz-ltd-split/;https://www.indiainfoline.com/company/vertoz-advertising-ltd/corporate-action/split,ok,Y,high,resolve-correct-ratio,"2024-07-05 compound 10:1 split + 1:1 bonus = 20x (price gap 19.04x confirms). 2025-06-25 real 1:10 consolidation factor 0.1 (price moved up post-consolidation). True cumulative (2 x 20 x 0.1)=4.0 matches applied. BOTH events resolve."
INE070Y01015,INNOVATIVE,Innovative Tyres & Tubes Ltd.,reverse-split,"reverse-split row ex 2024-06-26 factor 0.035 (~3.52:100)","coverage_hole (price file ends 2024-06-25, at ex-date)","100:3.52 capital reduction (NCLT) ex 2024-06-25, record 2024-06-26 (factor 0.0352)",https://www.nseindia.com/companies-listing/corporate-filings-corporate-actions?symbol=INNOVATIVE,ok,partial,medium,resolve-apply-once,"Real ~3.52:100 capital reduction; 3.52/100=0.0352 ~= 0.035 matches web. Price coverage ends at ex-date. Apply 0.035 once."
INE668X01018,BANSAL,Bansal Multiflex Ltd.,reverse-split,"TWO reverse-split rows ex 2025-04-11 + 2025-06-16 factor 0.01 each -> cumulative 0.0001","coverage_hole (price file ends 2019-12-09; no 2025 data). Wipeout -0.94.","NO RELIABLE DATA",,NO_RELIABLE_DATA,N,low,STAYS-FLAGGED,"Web found nothing; price coverage ends 2019; wipeout. Ratio 0.01 applied twice (0.0001) - suspect phantom/data error. Do not apply. STAYS FLAGGED."
INE413X01035,7NR,7NR Retail Ltd.,reverse-split,"reverse-split row ex 2024-01-05 (within single-source set; cumulative 1.2)","gap 2024-01-17 prev 4.97 -> next 10.17 (price UP ~2x near consolidation; correct direction)","1:10 reverse consolidation (FV 1->10) ex 2024-01-05 (factor 0.1); plus 10:1 forward split 2022-03-30; 1:5 bonus 2022-11-28; 1:2 bonus 2018","https://www.goodreturns.in/company/7nr-retail (Goodreturns corp-actions; via grounding redirect)",ok,partial,medium,resolve-apply-once,"Real 1:10 consolidation ex 2024-01-05 (factor 0.1); price moved up ~2x near date (correct direction). Apply 0.1 once. Full history: forward 10:1 split (2022-03) + bonuses are separate rows."
